id,titulo,renda,publico,renda_total,publico_total,salas,distribuidora,genero
1,Minha vida em Marte,67659063,4417968,82057463,5338584,538,DTF/Paris,Comédia
2,Nada a perder - Parte 2,58928584,6078971,58928584,6078971,613,DTF/Paris,Biografia
3,Minha mãe é uma peça 3,41919725,2615891,41919725,2615891,669,DTF/Paris,Comédia
4,Turma da Mônica - Laços,30291281,2118953,30291281,2118953,496,DTF/Paris,Infantil
5,De pernas pro ar 3,28341870,1829317,28341870,1829317,619,DTF/Paris,Comédia
6,Os parças 2,18403392,1294723,18403392,1294723,492,DTF/Paris,Comédia
7,Vai que cola 2 - O começo,12481619,854312,12481619,854312,551,H2O,Comédia
8,Kardec,11798544,752469,11798544,752469,435,Sony,Biografia
9,Bacurau,11311605,737297,11311605,737297,234,Vitrine,Drama
10,Sai de baixo - O filme,7127547,470249,7127547,470249,553,Imagem,Comédia
11,Divaldo - O mensageiro da paz,6807617,435297,6807617,435297,318,Fox,Biografia
12,Cinderela pop,6735999,467526,6735999,467526,472,Galeria,Adolescente
13,Detetives do Prédio Azul 2 - O mistério italiano,5748183,446784,17952583,1320655,558,DTF/Paris,Infantil
14,Ela disse ele disse,3456550,245137,3456550,245137,400,Imagem,Adolescente
15,Carcereiros - O filme,2609847,193305,2609847,193305,476,Imagem,Drama
16,Cine Holliúdy 2 - A chibata sideral,2479243,172363,2479243,172363,86,DTF/Paris,Comédia
17,Hebe - A estrela do Brasil,1982550,117518,1982550,117518,323,Warner,Biografia
18,A vida invisível,1976197,112841,1976197,112841,83,Sony/Vitrine,Drama
19,Minha fama de mau,1802090,113131,1802090,113131,200,DTF/Paris,Biografia
20,Eu sou mais eu,1702919,127503,1702919,127503,441,Imagem,Comédia
21,Roberto Carlos em Jerusalém,1397147,72577,1397147,72577,236,H2O,Musical
22,Chorar de rir,1250949,84821,1250949,84821,209,Warner,Comédia
23,Simonal,1181662,64959,1181662,64959,80,DTF/Paris,Biografia
24,O amor dá trabalho,899760,58922,899760,58922,99,DTF/Paris,Comédia
25,Maria do Caritó,637695,40852,637695,40852,175,Imagem,Comédia
26,Muleque té doido 3: Mais doido ainda!,446975,32649,446975,32649,10,Dist Própria,Comédia
27,Divino amor,445881,36077,445881,36077,34,Vitrine,Ficção
28,Morto não fala,428318,27696,428318,27696,71,Pagu,Terror
29,Socorro! Virei uma garota,395781,26552,395781,26552,107,DTF/Paris,Comédia
30,Deslembro,229236,14261,229236,14261,17,Imovision,Drama
31,Fevereiros (doc),216862,14744,216862,14744,14,ArtHouse,Documentário
32,O juízo,192181,11575,192181,11575,88,DTF/Paris,Drama
33,Tito e os pássaros,169251,17683,169251,17683,35,Elo Company,Animação
34,UMA - Luz dos Himalaias (doc),159112,8278,159112,8278,14,Espaço,Documentário
35,Legalidade,152151,11039,152151,11039,31,Boulevard,Drama
36,Los silencios,142256,10753,142256,10753,18,Vitrine,Drama
37,Albatroz,113390,6455,113390,6455,51,DTF/Paris,Suspense
38,Bate coração,94301,5989,94301,5989,74,DTF/Paris,Comédia
39,Greta,94080,6974,94080,6974,15,Pandora,Drama
40,Estou me guardando para quando o carnaval chegar (doc),82218,10714,82218,10714,14,Vitrine,Documentário
41,No coração do mundo,73718,5520,73718,5520,13,Embaúba,Drama
42,Sócrates,72458,5645,72458,5645,20,O2 Play,Drama
43,Bixa Travesty (doc),71355,13140,71355,13140,10,Arteplex,Documentário
44,Torre das donzelas (doc),71033,5231,71033,5231,14,Elo Company,Documentário
45,Paulo de Tarso e a história do cristianismo primitivo,62609,3391,62609,3391,13,A2 Filmes,Drama
46,Alma imoral,62485,3944,62485,3944,4,Elo Company,Documentário
47,Vermelho sol,60046,7413,60046,7413,13,Vitrine,Suspense
48,Temporada,59709,8082,59709,8082,16,Vitrine,Drama
49,A mulher do meu marido,50741,3055,50741,3055,36,Bretz,Comédia
50,Recife assombrado,47679,4788,47679,4788,10,Elo Company,Terror